Date,Price,Open,High,Low,Vol.,Change %
16-Sep-17,178.32001,186,191,167.78999,7.03K,-4.13
15-Sep-17,186,160.10001,192.52,142.25,23.45K,16.18
14-Sep-17,160.10001,198.5,207.44,159.99001,17.10K,-19.35
13-Sep-17,198.5,210.85001,211.85001,181.83,11.89K,-5.86
12-Sep-17,210.85001,212.89999,225.17,204.44,6.20K,-0.96
11-Sep-17,212.89999,218.00999,222.91,210,4.65K,-2.34
10-Sep-17,218.00999,219,228.33,197,6.48K,-0.45
9-Sep-17,219,219.64999,224.16,209.2,5.97K,-0.3
8-Sep-17,219.64999,247.87,247.87,207,13.36K,-11.39
7-Sep-17,247.87,246.3,251.78999,234,5.86K,0.64
6-Sep-17,246.3,229.13,250,225.07001,7.89K,7.49
5-Sep-17,229.13,218.74001,238.10001,195.3,14.50K,4.75
4-Sep-17,218.74001,264.16,265,196.50999,18.95K,-17.19
3-Sep-17,264.16,250.2,273,240.94,12.58K,5.58
2-Sep-17,250.2,307,312,239.99001,14.90K,-18.5
1-Sep-17,307,287.10001,312.29999,281.76999,9.49K,6.93
31-Aug-17,287.10001,275,287.47,272,6.39K,4.4
30-Aug-17,275,270,281.75,267.95999,5.17K,1.85
29-Aug-17,270,275,277.57999,263.78,3.97K,-1.82
28-Aug-17,275,273,281.79999,254.23,6.37K,0.73
27-Aug-17,273,300,301,265.41,7.22K,-9
26-Aug-17,300,238.61,301,235.81,17.69K,25.73
25-Aug-17,238.61,227.5,258,227.23,9.27K,4.88
24-Aug-17,227.5,227.2,231.73,223.44,4.02K,0.13
23-Aug-17,227.2,224,239,223.2,7.59K,1.43
22-Aug-17,224,235.60001,240,206,8.74K,-4.92
21-Aug-17,235.60001,239.67,258.38,228.11,11.90K,-1.7
20-Aug-17,239.67,234,252.41,224,12.53K,2.42
19-Aug-17,234,199.21001,247.89999,190.78,16.20K,17.46
18-Aug-17,199.21001,208.14,214,198.60001,5.03K,-4.29
17-Aug-17,208.14,216.61,218.3,206,4.33K,-3.91
16-Aug-17,216.61,212.11,220,205.08,3.89K,2.12
15-Aug-17,212.11,210.33,213.5,196,8.69K,0.85
14-Aug-17,210.33,212,217.89999,203,5.25K,-0.79
13-Aug-17,212,222.71001,225.60001,200,6.52K,-4.81
